PLTID,ANNPRE,ANNTMP,AUGMAXT,DECMINT,SMRTP,LAT,LON,ASPTR,DEM,PRR,SLPPCT,TPI150,TPI300,TPI450,TC1,TC2,TC3,NBR
153476,703,894,2616,-333,322,4563,-12162,131,591,9843,18,11,0,18,2172,1431,-1036,538
153581,787,868,2305,-133,226,4540,-12205,1,636,16441,19,-1,-6,0,1604,1360,-211,771
153583,736,1125,2653,125,292,4540,-12226,172,197,10872,28,-2,-3,-9,2359,2003,-524,736
153690,609,894,2814,-363,365,4527,-12136,38,691,18116,13,0,5,5,2658,976,-1461,259
153714,661,772,2644,-432,299,4515,-12150,139,829,16264,60,0,5,-16,1733,1222,-633,557
153716,620,807,2781,-463,333,4501,-12149,13,764,16709,31,-5,-11,-15,2105,937,-1243,320
153734,750,772,2465,-267,244,4491,-12198,200,1034,11875,34,-7,-15,-19,2216,1647,-387,672
153737,742,688,2346,-369,233,4511,-12185,76,1125,16691,2,1,5,12,2363,1099,-1255,354
153743,790,885,2383,-100,234,4555,-12212,25,657,16503,2,9,9,4,2009,1709,-206,795
153745,800,793,2322,-208,219,4545,-12191,145,878,16635,17,0,3,0,1712,1650,-157,801
153747,770,766,2237,-236,222,4530,-12191,131,896,15386,58,1,-3,-20,1634,1394,-292,746
153753,762,392,2126,-737,173,4392,-12182,74,1807,14361,26,-1,4,20,1266,795,-466,538
153757,782,835,2411,-132,233,4472,-12230,4,912,13844,37,7,-25,-29,1826,1309,-1423,361
153761,704,783,2587,-477,310,4150,-12179,1,1704,17778,24,5,-8,-4,2261,894,-1305,261
153765,775,904,2495,-43,254,4461,-12214,133,923,9164,33,-11,-28,-16,1705,1534,-66,834
153767,753,650,2361,-385,221,4441,-12193,189,1280,16229,1,0,-7,-10,1850,791,-967,319
153779,710,636,2403,-468,241,4480,-12164,69,1286,15695,23,-8,-30,-39,1854,1396,-415,664
153810,641,853,2711,-355,328,4462,-12162,0,1055,16906,4,0,0,7,2398,837,-1643,186
153812,630,742,2576,-421,299,4446,-12156,187,1225,16171,7,3,8,11,2455,1061,-1285,272
