FCID,LON,LAT,B3,B4,B5,ASPTR,DEM,TPI450,ANNPRE,SLPPCT,SMRTMP,SMRVP,SERIES
31780,-117.7210382,48.38807393,0.065435619,0.20524810300000002,0.10952167300000001,0.33940289,772.959966,-19.98510234,841.0,8.583333332999999,2238.5,101160.0,19
31781,-117.7229537,48.3888537,0.0626212,0.21334114199999998,0.090488134,1.5109027940000002,783.7024414,-5.646948242000001,832.2,5.1,2250.1,101128.0,20
31782,-117.7362057,48.41510429,0.16038517,0.258071764,0.124631146,1.967479936,1322.01982,52.8885498,1051.0,14.45454545,1919.0,99080.0,25
31783,-117.7368007,48.41980545,0.18252997399999998,0.316519266,0.157436924,0.99482578,1223.39884,-34.05712891,1032.0,12.6,1960.5,99520.0,20
31784,-117.5485736,48.37063681,0.05617687,0.220039923,0.081417727,0.607809313,1186.877819,-3.2627840910000003,1104.0,17.45454545,1965.0,99360.0,19
31785,-117.55024509999998,48.37039516,0.056921985999999994,0.19970373800000002,0.08006415900000001,0.126984744,1185.98938,17.06691673,1104.0,17.90909091,1965.0,99360.0,14
31786,-117.55720900000001,48.36635821,0.068511407,0.19020524100000002,0.092745488,0.908616477,1099.336259,-7.705488725,1062.5454550000002,6.272727272999999,2016.318182,100000.0,14
31787,-117.5567304,48.36950976,0.056350847,0.201908473,0.075660605,0.15986150400000002,1122.062078,-12.95251465,1104.0,8.545454545,1965.0,99360.0,20
31788,-117.5354926,48.36847673,0.06143285,0.215782583,0.070249723,1.105669838,1271.838552,21.2004598,1172.0,19.75,1917.0,99080.0,20
31789,-117.57345159999998,48.37594946,0.057641625999999994,0.18908333800000002,0.088113916,1.609410548,1136.150281,-6.8851440429999995,1052.0,19.1,2038.0,100200.0,19
31790,-117.5392687,48.35135596,0.055169841,0.170546237,0.054332425,0.975593238,1122.431787,-39.946704100000005,1151.0,15.8,1933.5,99480.0,19
31791,-117.5957366,48.27435959,0.10426312900000001,0.18535211899999998,0.082458805,0.369130639,1407.352692,31.13028971,1379.0,29.16666667,1757.5,99080.0,20
31792,-117.58774299999999,48.27306011,0.20981769100000003,0.326416135,0.10025465199999999,0.930023312,1497.8256279999998,8.004272461000001,1379.0,24.63636364,1757.5,99080.0,20
31793,-117.5695577,48.27022731,0.173703238,0.266412506,0.105566928,0.171895822,1482.055398,38.57578347,1378.5454550000002,17.81818182,1761.0,98836.36364,20
31795,-117.6648097,48.67162811,0.287071678,0.354212398,0.199107605,0.641803015,1412.45641,2.7349631569999997,1230.0,30.63636364,1786.5,93480.0,14
31798,-117.7387433,48.70498601,0.113249987,0.232633758,0.15178281400000002,0.468409733,911.9008606000001,0.532977295,901.2,23.9,2222.6,103144.0,14
31799,-117.7417539,48.71927976,0.25976994800000003,0.34110914299999995,0.187902903,0.930646491,1281.2523529999999,-0.558172053,1104.0,14.0,1927.0,97120.0,19
31800,-117.7265348,48.75006305,0.389404825,0.42344041,0.15303489,1.851743769,1619.939198,26.88209118,1266.0,22.72727273,1683.5,92360.0,25
31803,-117.73369299999999,48.72406368,0.20051839800000001,0.31637422600000004,0.130687597,0.264654634,1245.65301,2.624112216,1104.0,15.81818182,1927.0,97120.0,14
31804,-117.63259440000002,48.63188366,0.118238814,0.242636637,0.090103108,0.18560957399999997,1188.589868,-16.34953613,1096.0,15.9,1989.0,97280.0,14
31805,-117.63355320000001,48.63039349,0.097936149,0.229896734,0.080275336,0.098922359,1172.118319,-4.674471768,1096.0,9.454545455,1989.0,97280.0,19
31806,-117.630429,48.64539901,0.156411029,0.241190844,0.108063887,0.402326332,1325.1124810000001,3.000691732,1238.0,18.55555556,1811.1666670000002,93680.0,19
31807,-117.6273965,48.6471704,0.163004584,0.27861112899999996,0.105465255,0.70832464,1339.449319,-36.67009943,1229.0,16.90909091,1816.5,93800.0,19
31808,-117.65741299999999,48.64495155,0.151669055,0.236393632,0.095190241,1.737346966,1130.577959,-35.19000799,1112.0,7.0,1975.5,97200.0,19
31809,-117.6992397,48.69784609,0.071204442,0.22067822899999998,0.105371428,1.1621830709999998,998.5648471000001,3.5508256389999997,970.0,6.0,2134.5,101320.0,19
31810,-117.7229604,48.69345415,0.059877755,0.211744503,0.088272146,0.080851845,1073.4048460000001,9.100016276,996.0,15.08333333,2075.5,100120.0,14
31811,-117.7208773,48.69604018,0.053123329000000004,0.17025826600000002,0.063793509,1.057333943,1102.717932,39.59661865,1030.0,19.2,2045.0,99520.0,19
